"Index","Total","Status","Title","Rule Number","Rule Name","Folder","Image Path","Prompt Path","Result Path","Duration Seconds","Error","Completed At UTC"
"11","177","skipped","Penalty for playing the wrong ball","R6","Wrong ball","output\006_001_Penalty_for_playing_the_wrong_ball","output\006_001_Penalty_for_playing_the_wrong_ball\illustration-v2.png","output\006_001_Penalty_for_playing_the_wrong_ball\final-prompt-v2.txt","output\006_001_Penalty_for_playing_the_wrong_ball\image-generation-v2.json","0.00","","2026-06-24T14:50:43.171Z"
"12","177","success","Playing from the wrong teeing area","R6","Playing from the teeing area","output\006_001_Playing_from_the_wrong_teeing_area","output\006_001_Playing_from_the_wrong_teeing_area\illustration-v2.png","output\006_001_Playing_from_the_wrong_teeing_area\final-prompt-v2.txt","output\006_001_Playing_from_the_wrong_teeing_area\image-generation-v2.json","185.54","","2026-06-24T14:53:48.715Z"
"13","177","success","What happens if you tee off in the wrong order?","6","Playing in the wrong order","output\006_001_What_happens_if_you_tee_off_in_the_wrong_order","output\006_001_What_happens_if_you_tee_off_in_the_wrong_order\illustration-v2.png","output\006_001_What_happens_if_you_tee_off_in_the_wrong_order\final-prompt-v2.txt","output\006_001_What_happens_if_you_tee_off_in_the_wrong_order\image-generation-v2.json","184.96","","2026-06-24T14:53:48.136Z"
"14","177","success","Defining the teeing area","6","Teeing area","output\006_002_Defining_the_teeing_area","output\006_002_Defining_the_teeing_area\illustration-v2.png","output\006_002_Defining_the_teeing_area\final-prompt-v2.txt","output\006_002_Defining_the_teeing_area\image-generation-v2.json","169.32","","2026-06-24T14:53:32.501Z"
"15","177","success","Moving the tee-markers","R6","Tee-markers","output\006_002_Moving_the_tee_markers","output\006_002_Moving_the_tee_markers\illustration-v2.png","output\006_002_Moving_the_tee_markers\final-prompt-v2.txt","output\006_002_Moving_the_tee_markers\image-generation-v2.json","171.47","","2026-06-24T14:53:34.658Z"
"16","177","success","Penalty for playing the wrong ball","6","Wrong ball","output\006_002_Penalty_for_playing_the_wrong_ball","output\006_002_Penalty_for_playing_the_wrong_ball\illustration-v2.png","output\006_002_Penalty_for_playing_the_wrong_ball\final-prompt-v2.txt","output\006_002_Penalty_for_playing_the_wrong_ball\image-generation-v2.json","184.88","","2026-06-24T14:53:48.068Z"
"17","177","success","What to do if you can't find your original ball after hitting a wrong ball","R6","Wrong ball","output\006_002_What_to_do_if_you_cant_find_your_original_ball_after_hitting_a_wrong_ball","output\006_002_What_to_do_if_you_cant_find_your_original_ball_after_hitting_a_wrong_ball\illustration-v2.png","output\006_002_What_to_do_if_you_cant_find_your_original_ball_after_hitting_a_wrong_ball\final-prompt-v2.txt","output\006_002_What_to_do_if_you_cant_find_your_original_ball_after_hitting_a_wrong_ball\image-generation-v2.json","244.81","","2026-06-24T14:57:23.575Z"
"18","177","success","Consequence of not correcting a wrong ball mistake","R6","Wrong ball","output\006_003_Consequence_of_not_correcting_a_wrong_ball_mistake","output\006_003_Consequence_of_not_correcting_a_wrong_ball_mistake\illustration-v2.png","output\006_003_Consequence_of_not_correcting_a_wrong_ball_mistake\final-prompt-v2.txt","output\006_003_Consequence_of_not_correcting_a_wrong_ball_mistake\image-generation-v2.json","172.97","","2026-06-24T14:56:25.471Z"
"19","177","success","Consequences if you hole out with a wrong ball","6","Wrong ball","output\006_003_Consequences_if_you_hole_out_with_a_wrong_ball","output\006_003_Consequences_if_you_hole_out_with_a_wrong_ball\illustration-v2.png","output\006_003_Consequences_if_you_hole_out_with_a_wrong_ball\final-prompt-v2.txt","output\006_003_Consequences_if_you_hole_out_with_a_wrong_ball\image-generation-v2.json","176.88","","2026-06-24T14:56:31.543Z"
"20","177","success","Penalty for playing from outside the teeing area","6","Playing from outside the teeing area","output\006_003_Penalty_for_playing_from_outside_the_teeing_area","output\006_003_Penalty_for_playing_from_outside_the_teeing_area\illustration-v2.png","output\006_003_Penalty_for_playing_from_outside_the_teeing_area\final-prompt-v2.txt","output\006_003_Penalty_for_playing_from_outside_the_teeing_area\image-generation-v2.json","177.43","","2026-06-24T14:56:45.502Z"
"21","177","success","Playing out of turn to save time","R6","Playing in the wrong order","output\006_003_Playing_out_of_turn_to_save_time","output\006_003_Playing_out_of_turn_to_save_time\illustration-v2.png","output\006_003_Playing_out_of_turn_to_save_time\final-prompt-v2.txt","output\006_003_Playing_out_of_turn_to_save_time\image-generation-v2.json","221.20","","2026-06-24T14:57:29.347Z"
"22","177","success","Who plays first on the green?","R6","Order of play","output\006_003_Who_plays_first_on_the_green","output\006_003_Who_plays_first_on_the_green\illustration-v2.png","output\006_003_Who_plays_first_on_the_green\final-prompt-v2.txt","output\006_003_Who_plays_first_on_the_green\image-generation-v2.json","177.03","","2026-06-24T14:56:45.751Z"
"23","177","success","Correcting a teeing area mistake","6","Playing from outside the teeing area","output\006_004_Correcting_a_teeing_area_mistake","output\006_004_Correcting_a_teeing_area_mistake\illustration-v2.png","output\006_004_Correcting_a_teeing_area_mistake\final-prompt-v2.txt","output\006_004_Correcting_a_teeing_area_mistake\image-generation-v2.json","170.97","","2026-06-24T14:59:16.441Z"
"24","177","success","Order of Play on the First Tee","R6","The honour/order of play","output\006_004_Order_of_Play_on_the_First_Tee","output\006_004_Order_of_Play_on_the_First_Tee\illustration-v2.png","output\006_004_Order_of_Play_on_the_First_Tee\final-prompt-v2.txt","output\006_004_Order_of_Play_on_the_First_Tee\image-generation-v2.json","182.76","","2026-06-24T14:59:34.302Z"
"25","177","success","Penalty for taking advantage with wrong order of play","R6","Playing in the wrong order","output\006_004_Penalty_for_taking_advantage_with_wrong_order_of_play","output\006_004_Penalty_for_taking_advantage_with_wrong_order_of_play\illustration-v2.png","output\006_004_Penalty_for_taking_advantage_with_wrong_order_of_play\final-prompt-v2.txt","output\006_004_Penalty_for_taking_advantage_with_wrong_order_of_play\image-generation-v2.json","179.22","","2026-06-24T14:59:44.728Z"
"26","177","success","What happens if your ball falls off the tee accidentally?","R6","Ball falls off the tee","output\006_004_What_happens_if_your_ball_falls_off_the_tee_accidentally","output\006_004_What_happens_if_your_ball_falls_off_the_tee_accidentally\illustration-v2.png","output\006_004_What_happens_if_your_ball_falls_off_the_tee_accidentally\final-prompt-v2.txt","output\006_004_What_happens_if_your_ball_falls_off_the_tee_accidentally\image-generation-v2.json","198.56","","2026-06-24T15:00:04.314Z"
"27","177","success","Does an air shot count as a stroke?","Def./R6","Air shot","output\006_005_Does_an_air_shot_count_as_a_stroke","output\006_005_Does_an_air_shot_count_as_a_stroke\illustration-v2.png","output\006_005_Does_an_air_shot_count_as_a_stroke\final-prompt-v2.txt","output\006_005_Does_an_air_shot_count_as_a_stroke\image-generation-v2.json","218.27","","2026-06-24T15:01:01.847Z"
"28","177","success","What to do if you can't tell if the ball is yours","R7","Identifying the ball","output\007_001_What_to_do_if_you_cant_tell_if_the_ball_is_yours","output\007_001_What_to_do_if_you_cant_tell_if_the_ball_is_yours\illustration-v2.png","output\007_001_What_to_do_if_you_cant_tell_if_the_ball_is_yours\final-prompt-v2.txt","output\007_001_What_to_do_if_you_cant_tell_if_the_ball_is_yours\image-generation-v2.json","201.55","","2026-06-24T15:00:50.903Z"
"29","177","success","What can you do if your ball sinks into the bunker?","R7","Ball disappeared in the sand","output\007_002_What_can_you_do_if_your_ball_sinks_into_the_bunker","output\007_002_What_can_you_do_if_your_ball_sinks_into_the_bunker\illustration-v2.png","output\007_002_What_can_you_do_if_your_ball_sinks_into_the_bunker\final-prompt-v2.txt","output\007_002_What_can_you_do_if_your_ball_sinks_into_the_bunker\image-generation-v2.json","189.18","","2026-06-24T15:02:25.622Z"
"30","177","success","What if you move your ball while searching?","R7","Ball moved during a search","output\007_003_What_if_you_move_your_ball_while_searching","output\007_003_What_if_you_move_your_ball_while_searching\illustration-v2.png","output\007_003_What_if_you_move_your_ball_while_searching\final-prompt-v2.txt","output\007_003_What_if_you_move_your_ball_while_searching\image-generation-v2.json","229.45","","2026-06-24T15:03:23.753Z"
"31","177","success","Playing from a divot, rut or bald patch","R8","Divots, tractor ruts, bald patches, etc.","output\008_003_Playing_from_a_divot_rut_or_bald_patch","output\008_003_Playing_from_a_divot_rut_or_bald_patch\illustration-v2.png","output\008_003_Playing_from_a_divot_rut_or_bald_patch\final-prompt-v2.txt","output\008_003_Playing_from_a_divot_rut_or_bald_patch\image-generation-v2.json","184.98","","2026-06-24T15:02:49.714Z"
"32","177","success","Ball moved while looking for it","R9","Ball at rest is moved","output\009_001_Ball_moved_while_looking_for_it","output\009_001_Ball_moved_while_looking_for_it\illustration-v2.png","output\009_001_Ball_moved_while_looking_for_it\final-prompt-v2.txt","output\009_001_Ball_moved_while_looking_for_it\image-generation-v2.json","234.36","","2026-06-24T15:03:58.676Z"
"33","177","success","What to do if your ball is moved by a dog","R9","Ball at rest moved by an outside influence","output\009_001_What_to_do_if_your_ball_is_moved_by_a_dog","output\009_001_What_to_do_if_your_ball_is_moved_by_a_dog\illustration-v2.png","output\009_001_What_to_do_if_your_ball_is_moved_by_a_dog\final-prompt-v2.txt","output\009_001_What_to_do_if_your_ball_is_moved_by_a_dog\image-generation-v2.json","183.48","","2026-06-24T15:03:54.390Z"
"34","177","success","Ball moved while preparing a stroke","R9","Ball at rest is moved","output\009_002_Ball_moved_while_preparing_a_stroke","output\009_002_Ball_moved_while_preparing_a_stroke\illustration-v2.png","output\009_002_Ball_moved_while_preparing_a_stroke\final-prompt-v2.txt","output\009_002_Ball_moved_while_preparing_a_stroke\image-generation-v2.json","182.51","","2026-06-24T15:04:04.362Z"
"35","177","success","Ball moved by an animal","R9","Ball at rest is moved","output\009_003_Ball_moved_by_an_animal","output\009_003_Ball_moved_by_an_animal\illustration-v2.png","output\009_003_Ball_moved_by_an_animal\final-prompt-v2.txt","output\009_003_Ball_moved_by_an_animal\image-generation-v2.json","199.53","","2026-06-24T15:05:45.160Z"
"36","177","success","Ball moved by the wind after a stroke","R9","Ball at rest is moved","output\009_004_Ball_moved_by_the_wind_after_a_stroke","output\009_004_Ball_moved_by_the_wind_after_a_stroke\illustration-v2.png","output\009_004_Ball_moved_by_the_wind_after_a_stroke\final-prompt-v2.txt","output\009_004_Ball_moved_by_the_wind_after_a_stroke\image-generation-v2.json","184.86","","2026-06-24T15:05:54.578Z"
"37","177","success","What happens if you move your ball on a practice swing?","R9","Ball moved when taking a practice swing","output\009_004_What_happens_if_you_move_your_ball_on_a_practice_swing","output\009_004_What_happens_if_you_move_your_ball_on_a_practice_swing\illustration-v2.png","output\009_004_What_happens_if_you_move_your_ball_on_a_practice_swing\final-prompt-v2.txt","output\009_004_What_happens_if_you_move_your_ball_on_a_practice_swing\image-generation-v2.json","178.22","","2026-06-24T15:06:21.982Z"
"38","177","success","Opponent moves your ball in match play","R9","Ball at rest is moved","output\009_005_Opponent_moves_your_ball_in_match_play","output\009_005_Opponent_moves_your_ball_in_match_play\illustration-v2.png","output\009_005_Opponent_moves_your_ball_in_match_play\final-prompt-v2.txt","output\009_005_Opponent_moves_your_ball_in_match_play\image-generation-v2.json","246.66","","2026-06-24T15:08:01.058Z"
"39","177","success","Penalty for moving the ball when grounding the club","R9","Ball moved when grounding the club","output\009_005_Penalty_for_moving_the_ball_when_grounding_the_club","output\009_005_Penalty_for_moving_the_ball_when_grounding_the_club\illustration-v2.png","output\009_005_Penalty_for_moving_the_ball_when_grounding_the_club\final-prompt-v2.txt","output\009_005_Penalty_for_moving_the_ball_when_grounding_the_club\image-generation-v2.json","180.12","","2026-06-24T15:06:58.796Z"
"40","177","success","What advice can you ask for on the course?","R10","Advice and line of play","output\010_001_What_advice_can_you_ask_for_on_the_course","output\010_001_What_advice_can_you_ask_for_on_the_course\illustration-v2.png","output\010_001_What_advice_can_you_ask_for_on_the_course\final-prompt-v2.txt","output\010_001_What_advice_can_you_ask_for_on_the_course\image-generation-v2.json","186.05","","2026-06-24T15:07:10.420Z"
"41","177","success","What advice can you ask for on the golf course?","R10","Advice and line of play","output\010_001_What_advice_can_you_ask_for_on_the_golf_course","output\010_001_What_advice_can_you_ask_for_on_the_golf_course\illustration-v2.png","output\010_001_What_advice_can_you_ask_for_on_the_golf_course\final-prompt-v2.txt","output\010_001_What_advice_can_you_ask_for_on_the_golf_course\image-generation-v2.json","194.23","","2026-06-24T15:08:59.391Z"
"42","177","success","When can you discuss distances on the course?","R10","Advice and line of play","output\010_001_When_can_you_discuss_distances_on_the_course","output\010_001_When_can_you_discuss_distances_on_the_course\illustration-v2.png","output\010_001_When_can_you_discuss_distances_on_the_course\final-prompt-v2.txt","output\010_001_When_can_you_discuss_distances_on_the_course\image-generation-v2.json","182.43","","2026-06-24T15:08:57.011Z"
"43","177","success","Allowed questions in golf","R10","Advice and line of play","output\010_002_Allowed_questions_in_golf","output\010_002_Allowed_questions_in_golf\illustration-v2.png","output\010_002_Allowed_questions_in_golf\final-prompt-v2.txt","output\010_002_Allowed_questions_in_golf\image-generation-v2.json","197.45","","2026-06-24T15:09:39.438Z"
"44","177","success","Giving advice before a shot","R10","Advice and line of play","output\010_002_Giving_advice_before_a_shot","output\010_002_Giving_advice_before_a_shot\illustration-v2.png","output\010_002_Giving_advice_before_a_shot\final-prompt-v2.txt","output\010_002_Giving_advice_before_a_shot\image-generation-v2.json","177.59","","2026-06-24T15:09:56.387Z"
"45","177","success","Penalty for giving or asking for advice","R10","Advice and line of play","output\010_002_Penalty_for_giving_or_asking_for_advice","output\010_002_Penalty_for_giving_or_asking_for_advice\illustration-v2.png","output\010_002_Penalty_for_giving_or_asking_for_advice\final-prompt-v2.txt","output\010_002_Penalty_for_giving_or_asking_for_advice\image-generation-v2.json","182.05","","2026-06-24T15:10:12.473Z"
"46","177","success","Umbrellas and outside help while putting","R10","Protection from the elements","output\010_003_Umbrellas_and_outside_help_while_putting","output\010_003_Umbrellas_and_outside_help_while_putting\illustration-v2.png","output\010_003_Umbrellas_and_outside_help_while_putting\final-prompt-v2.txt","output\010_003_Umbrellas_and_outside_help_while_putting\image-generation-v2.json","191.21","","2026-06-24T15:11:12.274Z"
"47","177","success","What happens if you accidentally hit the ball twice in one swing?","R10","Double hit","output\010_003_What_happens_if_you_accidentally_hit_the_ball_twice_in_one_swing","output\010_003_What_happens_if_you_accidentally_hit_the_ball_twice_in_one_swing\illustration-v2.png","output\010_003_What_happens_if_you_accidentally_hit_the_ball_twice_in_one_swing\final-prompt-v2.txt","output\010_003_What_happens_if_you_accidentally_hit_the_ball_twice_in_one_swing\image-generation-v2.json","191.61","","2026-06-24T15:12:08.623Z"
"48","177","success","What happens if you get advice without asking?","R10","Advice and line of play","output\010_003_What_happens_if_you_get_advice_without_asking","output\010_003_What_happens_if_you_get_advice_without_asking\illustration-v2.png","output\010_003_What_happens_if_you_get_advice_without_asking\final-prompt-v2.txt","output\010_003_What_happens_if_you_get_advice_without_asking\image-generation-v2.json","177.16","","2026-06-24T15:11:56.561Z"
"49","177","success","Advice about line of play on the green","10","Advice and line of play","output\010_004_Advice_about_line_of_play_on_the_green","output\010_004_Advice_about_line_of_play_on_the_green\illustration-v2.png","output\010_004_Advice_about_line_of_play_on_the_green\final-prompt-v2.txt","output\010_004_Advice_about_line_of_play_on_the_green\image-generation-v2.json","174.66","","2026-06-24T15:12:34.104Z"
"50","177","success","If you accidentally double-hit the ball","R10","Double hit","output\010_004_If_you_accidentally_double_hit_the_ball","output\010_004_If_you_accidentally_double_hit_the_ball\illustration-v2.png","output\010_004_If_you_accidentally_double_hit_the_ball\final-prompt-v2.txt","output\010_004_If_you_accidentally_double_hit_the_ball\image-generation-v2.json","194.85","","2026-06-24T15:13:11.240Z"
"51","177","success","Penalty for pushing or scraping a putt","R10","Careless putting","output\010_004_Penalty_for_pushing_or_scraping_a_putt","output\010_004_Penalty_for_pushing_or_scraping_a_putt\illustration-v2.png","output\010_004_Penalty_for_pushing_or_scraping_a_putt\final-prompt-v2.txt","output\010_004_Penalty_for_pushing_or_scraping_a_putt\image-generation-v2.json","187.60","","2026-06-24T15:13:20.083Z"
"52","177","success","What Happens If You Accidentally Double-Hit the Ball?","R10","Double hit","output\010_005_What_Happens_If_You_Accidentally_Double_Hit_the_Ball","output\010_005_What_Happens_If_You_Accidentally_Double_Hit_the_Ball\illustration-v2.png","output\010_005_What_Happens_If_You_Accidentally_Double_Hit_the_Ball\final-prompt-v2.txt","output\010_005_What_Happens_If_You_Accidentally_Double_Hit_the_Ball\image-generation-v2.json","278.75","","2026-06-24T15:15:51.023Z"
"53","177","success","Ball hits player's own equipment","R11","Ball in motion accidentally hits ...","output\011_001_Ball_hits_players_own_equipment","output\011_001_Ball_hits_players_own_equipment\illustration-v2.png","output\011_001_Ball_hits_players_own_equipment\final-prompt-v2.txt","output\011_001_Ball_hits_players_own_equipment\image-generation-v2.json","228.09","","2026-06-24T15:15:44.656Z"
"54","177","success","Where to drop a ball intentionally deflected by a person","11","Ball in motion intentionally deflected","output\011_001_Where_to_drop_a_ball_intentionally_deflected_by_a_person","output\011_001_Where_to_drop_a_ball_intentionally_deflected_by_a_person\illustration-v2.png","output\011_001_Where_to_drop_a_ball_intentionally_deflected_by_a_person\final-prompt-v2.txt","output\011_001_Where_to_drop_a_ball_intentionally_deflected_by_a_person\image-generation-v2.json","197.74","","2026-06-24T15:15:26.370Z"
"55","177","success","Ball strikes an outside influence","R11","Ball in motion accidentally hits ...","output\011_002_Ball_strikes_an_outside_influence","output\011_002_Ball_strikes_an_outside_influence\illustration-v2.png","output\011_002_Ball_strikes_an_outside_influence\final-prompt-v2.txt","output\011_002_Ball_strikes_an_outside_influence\image-generation-v2.json","203.31","","2026-06-24T15:15:57.414Z"
"56","177","success","Exception for balls intentionally deflected on the green","11","Ball in motion intentionally deflected","output\011_002_Exception_for_balls_intentionally_deflected_on_the_green","output\011_002_Exception_for_balls_intentionally_deflected_on_the_green\illustration-v2.png","output\011_002_Exception_for_balls_intentionally_deflected_on_the_green\final-prompt-v2.txt","output\011_002_Exception_for_balls_intentionally_deflected_on_the_green\image-generation-v2.json","174.57","","2026-06-24T15:16:05.813Z"
"57","177","success","Ball hits a ball-marker","R11","Ball deflected by marker","output\011_003_Ball_hits_a_ball_marker","output\011_003_Ball_hits_a_ball_marker\illustration-v2.png","output\011_003_Ball_hits_a_ball_marker\final-prompt-v2.txt","output\011_003_Ball_hits_a_ball_marker\image-generation-v2.json","185.79","","2026-06-24T15:16:25.873Z"
"58","177","success","Ball hits another ball at rest","R11","Ball in motion accidentally hits ...","output\011_003_Ball_hits_another_ball_at_rest","output\011_003_Ball_hits_another_ball_at_rest\illustration-v2.png","output\011_003_Ball_hits_another_ball_at_rest\final-prompt-v2.txt","output\011_003_Ball_hits_another_ball_at_rest\image-generation-v2.json","172.54","","2026-06-24T15:18:18.916Z"
"59","177","success","Penalty for intentionally deflecting a moving ball","11","Ball in motion intentionally deflected","output\011_003_Penalty_for_intentionally_deflecting_a_moving_ball","output\011_003_Penalty_for_intentionally_deflecting_a_moving_ball\illustration-v2.png","output\011_003_Penalty_for_intentionally_deflecting_a_moving_ball\final-prompt-v2.txt","output\011_003_Penalty_for_intentionally_deflecting_a_moving_ball\image-generation-v2.json","177.12","","2026-06-24T15:18:41.777Z"
"60","177","success","Ball Hits Another Player On The Green – What Now?","R11","Ball hits another player or an outside influence","output\011_004_Ball_Hits_Another_Player_On_The_Green_What_Now","output\011_004_Ball_Hits_Another_Player_On_The_Green_What_Now\illustration-v2.png","output\011_004_Ball_Hits_Another_Player_On_The_Green_What_Now\final-prompt-v2.txt","output\011_004_Ball_Hits_Another_Player_On_The_Green_What_Now\image-generation-v2.json","189.69","","2026-06-24T15:19:00.717Z"
"61","177","success","Ball striking another ball on the green","R11","Ball hits another ball","output\011_004_Ball_striking_another_ball_on_the_green","output\011_004_Ball_striking_another_ball_on_the_green\illustration-v2.png","output\011_004_Ball_striking_another_ball_on_the_green\final-prompt-v2.txt","output\011_004_Ball_striking_another_ball_on_the_green\image-generation-v2.json","168.24","","2026-06-24T15:18:45.656Z"
"62","177","success","Objects as ball stoppers","11","Ball in motion intentionally deflected","output\011_004_Objects_as_ball_stoppers","output\011_004_Objects_as_ball_stoppers\illustration-v2.png","output\011_004_Objects_as_ball_stoppers\final-prompt-v2.txt","output\011_004_Objects_as_ball_stoppers\image-generation-v2.json","177.46","","2026-06-24T15:19:03.280Z"
"63","177","success","Playing after your ball hits another person or animal","R11","Ball hits an outside influence or the player","output\011_004_Playing_after_your_ball_hits_another_person_or_animal","output\011_004_Playing_after_your_ball_hits_another_person_or_animal\illustration-v2.png","output\011_004_Playing_after_your_ball_hits_another_person_or_animal\final-prompt-v2.txt","output\011_004_Playing_after_your_ball_hits_another_person_or_animal\image-generation-v2.json","181.79","","2026-06-24T15:19:27.664Z"
"64","177","success","Ball accidentally hits opponent in match play","R11","Ball in motion accidentally hits ... the opponent in match play","output\011_005_Ball_accidentally_hits_opponent_in_match_play","output\011_005_Ball_accidentally_hits_opponent_in_match_play\illustration-v2.png","output\011_005_Ball_accidentally_hits_opponent_in_match_play\final-prompt-v2.txt","output\011_005_Ball_accidentally_hits_opponent_in_match_play\image-generation-v2.json","173.08","","2026-06-24T15:21:11.997Z"
"65","177","success","Deliberately stopping your ball with equipment","R11","Ball hits an outside influence or the player","output\011_005_Deliberately_stopping_your_ball_with_equipment","output\011_005_Deliberately_stopping_your_ball_with_equipment\illustration-v2.png","output\011_005_Deliberately_stopping_your_ball_with_equipment\final-prompt-v2.txt","output\011_005_Deliberately_stopping_your_ball_with_equipment\image-generation-v2.json","179.04","","2026-06-24T15:21:40.825Z"
"66","177","success","Playing a Ball from a Bad Lie","R12","Old footprints, buried lie, etc.","output\012_001_Playing_a_Ball_from_a_Bad_Lie","output\012_001_Playing_a_Ball_from_a_Bad_Lie\illustration-v2.png","output\012_001_Playing_a_Ball_from_a_Bad_Lie\final-prompt-v2.txt","output\012_001_Playing_a_Ball_from_a_Bad_Lie\image-generation-v2.json","181.98","","2026-06-24T15:21:47.638Z"
"67","177","success","When is a ball 'in the bunker'?","R12","Bunker","output\012_001_When_is_a_ball_in_the_bunker","output\012_001_When_is_a_ball_in_the_bunker\illustration-v2.png","output\012_001_When_is_a_ball_in_the_bunker\final-prompt-v2.txt","output\012_001_When_is_a_ball_in_the_bunker\image-generation-v2.json","194.48","","2026-06-24T15:22:15.202Z"
"68","177","success","Raking Between Bunker Shots","R12","Ball stays in bunker","output\012_003_Raking_Between_Bunker_Shots","output\012_003_Raking_Between_Bunker_Shots\illustration-v2.png","output\012_003_Raking_Between_Bunker_Shots\final-prompt-v2.txt","output\012_003_Raking_Between_Bunker_Shots\image-generation-v2.json","180.92","","2026-06-24T15:22:04.208Z"
"69","177","success","What is not allowed before your bunker shot?","R12","Do not touch or test the sand","output\012_004_What_is_not_allowed_before_your_bunker_shot","output\012_004_What_is_not_allowed_before_your_bunker_shot\illustration-v2.png","output\012_004_What_is_not_allowed_before_your_bunker_shot\final-prompt-v2.txt","output\012_004_What_is_not_allowed_before_your_bunker_shot\image-generation-v2.json","176.58","","2026-06-24T15:22:24.245Z"
"70","177","success","Is the fringe part of the green?","R13","Green and fringe","output\013_001_Is_the_fringe_part_of_the_green","output\013_001_Is_the_fringe_part_of_the_green\illustration-v2.png","output\013_001_Is_the_fringe_part_of_the_green\final-prompt-v2.txt","output\013_001_Is_the_fringe_part_of_the_green\image-generation-v2.json","208.29","","2026-06-24T15:24:40.297Z"
